room_type_reserved,required_car_parking_space,market_segment_type,type_of_meal_plan,lead_time,no_of_special_requests,avg_price_per_room,no_of_week_nights,no_of_adults,no_of_weekend_nights,no_of_children,no_of_previous_bookings_not_canceled,no_of_previous_cancellations,booking_status
0,0,4,0,51,3,150.3,2,2,2,2,0,0,1
3,0,4,0,115,0,141.3,4,3,1,0,0,0,1
0,0,4,3,18,0,75.0,2,2,0,0,0,0,1
0,0,4,0,147,1,114.3,1,2,0,0,0,0,0
3,0,4,0,9,1,115.0,1,2,1,0,0,0,0
0,0,3,0,6,1,43.5,2,2,2,0,0,0,1
0,0,4,3,37,0,89.4,1,2,0,0,0,0,1
0,0,4,0,70,2,121.55,3,3,1,0,0,0,1
0,0,4,3,3,1,135.67,2,2,1,0,0,0,1
0,0,3,0,158,0,70.0,2,2,1,0,0,0,1
3,0,4,0,1,1,66.3,1,1,0,0,0,0,1
0,0,4,3,96,0,108.0,1,1,1,0,0,0,0
5,0,4,0,26,1,231.0,3,2,1,2,0,0,0
0,1,1,0,3,1,56.0,3,1,0,0,2,0,1
0,0,3,0,36,2,67.5,1,2,2,0,0,0,1
0,0,4,0,4,1,80.0,1,1,0,0,0,0,1
0,0,4,0,5,2,190.0,2,2,0,0,0,0,1
6,0,4,0,1,2,209.1,3,2,0,2,0,0,1
0,0,4,3,33,1,125.1,2,2,1,0,0,0,1
0,0,2,0,1,0,135.0,1,2,0,0,0,0,1
3,0,4,0,6,1,152.0,1,3,1,0,0,0,1
0,0,4,0,71,1,87.13,2,2,2,0,0,0,1
0,0,4,0,18,0,91.0,2,2,1,0,0,0,1
0,0,4,3,57,0,81.9,2,2,1,0,0,0,0
0,0,4,0,253,3,89.25,5,2,2,0,0,0,1
0,0,4,3,180,0,80.1,2,1,0,0,0,0,0
3,0,4,0,72,2,149.4,1,2,1,0,0,0,1
0,0,4,3,3,1,125.67,3,2,0,0,0,0,1
3,0,3,0,151,1,82.45,1,2,1,0,0,0,0
0,0,2,0,32,1,65.0,1,1,1,0,10,1,1
3,0,1,0,1,2,0.0,1,2,0,1,0,0,1
0,0,4,3,1,0,0.0,0,1,0,0,0,0,1
5,0,4,0,0,1,156.0,2,2,0,2,0,0,1
3,0,4,0,186,2,137.7,2,3,1,0,0,0,0
0,0,4,0,84,2,89.25,2,2,1,0,0,0,1
3,0,4,0,34,1,135.45,2,3,2,0,0,0,1
0,0,4,3,126,0,118.8,3,2,0,0,0,0,0
0,0,1,0,0,1,0.0,1,1,0,0,18,4,1
0,0,2,0,1,0,80.0,1,1,0,0,0,0,1
0,0,4,0,1,2,111.65,3,2,2,1,0,0,1
0,0,4,0,29,2,88.4,5,2,0,0,0,0,1
0,0,4,0,38,0,90.95,0,1,2,0,0,0,1
0,0,4,0,287,0,100.3,3,2,1,0,0,0,0
0,0,4,3,65,0,63.75,2,2,2,0,0,0,1
0,0,4,1,2,1,123.68,3,2,1,0,0,0,1
0,0,4,0,25,1,101.0,0,2,1,0,0,0,1
3,0,4,0,133,0,120.7,4,2,0,0,0,0,0
3,0,4,0,71,0,96.3,2,2,1,0,0,0,1
0,0,4,3,11,1,62.83,1,2,0,0,0,0,1
0,0,2,0,3,0,65.0,7,1,3,0,46,4,1
0,0,4,0,116,0,89.25,3,2,0,0,0,0,1
0,0,4,3,105,1,108.0,2,2,2,0,0,0,0
0,0,4,3,3,0,88.0,1,1,1,0,0,0,1
0,0,4,0,56,0,88.4,5,2,1,0,0,0,0
3,0,4,0,56,0,118.8,2,2,1,0,0,0,0
4,0,3,0,108,0,153.9,2,1,2,0,0,0,1
0,0,4,0,5,3,130.0,1,2,0,0,0,0,1
0,0,3,0,80,0,144.0,2,2,1,0,0,0,1
0,1,4,0,4,1,124.0,2,2,0,0,0,0,1
3,0,4,1,34,1,129.6,5,2,0,0,0,0,1
0,0,4,0,39,1,133.0,1,2,0,1,0,0,1
0,0,3,0,13,0,62.0,2,1,0,0,0,0,1
0,0,4,0,115,2,68.0,3,1,2,0,0,0,0
0,1,4,3,25,1,93.0,0,2,2,0,0,0,1
0,0,4,0,31,2,103.5,2,1,2,0,0,0,1
3,0,4,0,41,0,159.3,2,3,0,0,0,0,0
0,0,4,0,62,1,152.1,0,2,2,1,0,0,1
3,0,4,0,65,0,159.3,3,3,1,0,0,0,0
0,0,4,0,9,2,95.0,1,1,0,0,0,0,1
1,0,4,0,96,0,112.01,2,2,2,0,0,0,0
3,0,4,0,102,1,119.0,2,3,2,0,0,0,0
0,0,4,0,110,0,120.0,0,1,1,0,0,0,0
0,0,3,0,213,1,80.24,5,2,3,0,0,0,1
5,0,4,0,44,0,208.62,4,2,1,2,0,0,0
3,0,4,0,133,0,82.45,2,2,1,0,0,0,0
0,0,3,0,51,0,112.0,2,2,1,0,0,0,1
0,0,4,0,112,1,90.0,1,2,0,0,0,0,0
0,0,4,1,152,0,133.17,4,2,2,0,0,0,0
0,1,2,0,5,1,98.0,1,1,0,0,5,0,1
5,0,4,0,40,0,159.3,1,2,0,2,0,0,1
0,0,4,0,25,1,88.4,4,2,0,0,0,0,1
0,0,4,0,361,0,91.0,1,1,0,0,0,1,0
3,1,4,0,120,1,136.8,5,2,0,0,0,0,1
0,0,4,3,76,1,79.2,1,2,2,0,0,0,1
3,0,4,0,153,0,137.7,2,3,0,0,0,0,0
3,0,4,0,44,0,149.4,1,2,2,0,0,0,0
3,0,4,0,53,4,122.0,3,2,1,0,0,0,1
0,0,4,0,3,2,94.35,4,2,1,1,0,0,1
0,0,4,0,177,1,99.45,2,2,2,0,0,0,1
0,0,4,0,18,1,94.96,2,2,2,0,0,0,1
0,0,3,0,144,0,75.0,2,2,1,0,0,0,0
0,0,4,3,101,1,69.5,3,2,0,0,0,0,1
0,0,4,0,149,0,72.25,4,2,2,0,0,0,0
0,0,3,0,5,0,66.0,3,2,0,0,0,0,1
0,0,3,0,10,0,43.5,2,2,2,0,0,0,1
0,0,3,3,65,0,72.25,3,2,0,0,0,0,1
0,0,4,3,126,1,79.2,1,2,0,0,0,0,0
5,0,4,0,2,2,201.0,2,2,0,2,0,0,1
0,0,4,3,87,1,51.97,2,2,1,0,0,0,1
0,0,4,0,152,2,110.65,2,3,1,0,0,0,0
5,0,4,0,100,1,154.7,4,2,0,2,0,0,0
0,0,3,0,19,0,87.0,5,2,0,0,0,0,1
0,0,4,0,86,1,88.83,4,2,0,0,0,0,0
0,0,3,0,100,0,65.96,3,2,1,0,0,0,1
3,0,4,0,220,1,114.75,2,3,2,0,0,0,0
0,0,4,3,149,0,85.5,0,2,2,0,0,0,0
0,0,4,0,13,2,119.0,1,2,0,1,0,0,1
0,0,4,3,3,0,75.0,1,2,0,0,0,0,1
3,0,4,0,67,0,117.6,4,2,0,0,0,0,0
0,0,4,3,0,0,81.0,1,1,0,0,0,0,1
3,0,4,0,190,4,132.6,4,2,2,0,0,0,1
0,0,4,0,30,1,76.08,3,2,0,0,0,0,1
3,1,4,0,4,1,115.0,1,2,0,0,0,0,1
5,0,3,0,2,0,144.8,2,2,0,1,0,0,1
3,0,4,0,72,0,126.64,5,3,2,0,0,0,0
0,0,4,0,26,0,64.64,2,2,2,0,0,0,1
0,0,4,0,11,1,119.0,0,2,1,1,0,0,1
0,0,3,0,20,0,160.0,2,2,1,0,0,0,0
0,0,4,0,4,2,90.0,5,2,0,0,0,0,1
0,0,4,0,36,1,96.3,2,2,0,0,0,0,1
0,0,4,0,248,0,74.15,1,2,2,0,0,0,0
0,0,4,0,93,0,109.35,0,2,1,1,0,0,0
0,1,2,0,62,0,67.0,0,1,1,0,0,0,1
0,0,4,0,35,1,100.1,2,2,0,1,0,0,0
0,0,3,0,14,0,70.0,2,2,0,0,0,0,1
3,0,4,0,40,1,96.9,4,2,0,0,0,0,1
0,0,2,0,75,0,65.0,1,1,0,0,4,0,1
3,0,4,0,94,0,168.3,0,3,1,0,0,0,0
0,0,4,3,55,1,91.51,1,2,2,0,0,0,1
0,0,3,1,98,0,105.0,2,2,1,0,0,0,1
0,0,4,3,10,2,139.0,2,2,2,0,0,0,1
3,0,4,0,25,0,146.2,3,1,1,0,0,0,1
3,0,4,0,121,0,91.48,2,2,0,0,0,0,0
0,0,3,0,41,0,85.0,3,2,0,0,0,0,1
0,1,4,3,3,1,99.1,3,2,2,0,0,0,1
0,0,4,3,0,0,89.0,0,2,1,0,0,0,1
0,0,4,0,125,2,72.25,4,2,0,0,0,0,1
3,0,4,0,54,2,118.8,1,2,2,0,0,0,1
0,0,4,3,139,0,85.5,1,2,0,0,0,0,0
0,0,4,0,34,0,152.1,1,2,2,1,0,0,1
0,0,3,0,192,1,96.9,3,3,2,0,0,0,1
0,0,3,1,105,0,110.0,2,2,1,0,0,0,0
0,0,4,0,91,1,90.45,2,2,2,0,0,0,1
1,0,1,0,15,4,0.0,1,2,0,1,0,0,1
0,0,3,0,3,0,95.0,2,1,0,0,0,0,1
0,0,4,0,85,3,90.9,1,2,0,0,0,0,1
0,0,2,0,32,1,65.0,1,1,1,0,8,0,1
0,0,4,0,30,0,126.9,1,2,0,0,0,0,0
0,0,2,0,99,0,81.0,2,1,0,0,0,0,1
0,0,4,3,186,0,89.25,4,2,0,0,0,0,0
0,0,4,0,104,1,126.9,1,2,2,0,0,0,1
0,0,4,0,13,2,119.0,1,2,0,1,0,0,1
0,0,4,3,54,0,80.1,1,2,1,0,0,0,0
0,0,3,0,42,0,68.0,3,2,1,0,0,0,1
0,0,4,3,67,0,85.5,1,2,2,0,0,0,0
0,0,3,0,78,0,48.33,4,2,2,0,0,0,1
0,0,0,0,5,0,95.0,3,1,1,0,0,0,1
0,0,4,0,29,1,64.67,3,2,1,0,0,0,1
0,0,4,3,54,0,103.5,0,2,2,0,0,0,0
0,0,3,0,0,0,85.0,2,1,0,0,0,0,1
3,0,4,0,79,0,105.61,3,2,1,0,0,0,0
0,0,4,0,15,0,80.46,3,2,1,0,0,0,1
0,0,2,0,88,0,80.0,2,1,0,0,0,0,1
0,0,3,0,37,0,72.0,3,2,0,0,0,0,1
0,0,4,3,148,0,90.9,4,2,1,0,0,0,0
0,1,2,0,24,1,67.0,1,1,1,0,0,0,1
0,0,4,3,117,0,79.2,0,2,2,0,0,0,1
0,0,4,0,35,1,72.9,1,1,1,0,0,0,0
1,0,3,0,3,1,37.5,1,2,1,0,0,0,1
0,0,4,0,3,2,94.0,4,2,2,0,0,0,1
0,0,4,3,0,0,89.0,1,1,0,0,0,0,1
0,0,4,3,0,2,150.0,1,2,0,0,4,0,1
0,0,3,0,5,0,80.0,2,2,2,0,0,0,1
0,0,4,0,29,1,109.2,2,2,1,0,0,0,1
0,0,4,0,154,0,71.6,3,2,1,0,0,0,0
0,0,4,3,108,2,108.0,3,2,1,0,0,0,1
0,0,3,0,72,0,60.0,2,2,2,0,0,0,1
3,0,4,1,116,2,172.85,3,3,2,0,0,0,1
5,0,4,0,195,0,158.95,3,2,1,2,0,0,0
0,0,4,0,74,0,86.4,0,1,1,0,0,0,0
0,0,4,3,8,1,136.0,3,2,2,0,0,0,0
0,0,4,0,71,1,70.13,3,1,1,0,0,0,1
0,0,4,3,70,1,78.3,3,2,0,0,0,0,0
0,0,2,0,64,1,140.0,2,2,0,0,0,0,1
3,0,4,0,32,0,109.87,3,2,2,0,0,0,1
0,0,4,3,58,2,90.68,3,2,1,0,0,0,1
3,0,4,0,43,0,140.4,2,2,1,0,0,0,0
0,0,4,0,1,2,135.75,2,2,2,0,0,0,1
0,0,4,1,124,4,163.8,1,2,2,0,0,0,1
0,0,3,1,106,0,105.0,3,2,2,0,0,0,1
0,0,4,3,44,0,89.1,2,2,0,0,0,0,0
0,0,4,0,175,1,96.3,2,2,0,0,0,0,1
0,0,4,0,203,0,90.95,3,2,1,0,0,0,0
0,0,4,0,6,0,137.0,3,1,2,0,0,0,0
0,0,4,0,195,0,109.23,6,2,2,0,0,0,0
0,0,4,0,140,1,105.3,1,2,2,0,0,0,1
0,0,4,3,67,0,80.75,4,2,2,0,0,0,1
0,0,3,0,132,0,72.25,5,2,1,0,0,0,1
0,0,4,0,16,1,86.0,0,1,1,0,0,0,1
3,0,4,1,190,0,130.05,4,2,1,0,0,0,1
0,0,3,1,110,0,94.5,1,2,2,0,0,0,1
3,0,4,0,19,2,162.0,2,2,1,0,0,0,1
3,0,3,0,68,0,60.0,1,2,2,0,0,0,1
0,0,4,0,79,0,150.45,3,3,1,0,0,0,0
0,0,4,0,4,3,108.67,1,2,2,0,0,0,1
3,0,4,0,238,0,140.4,3,2,0,0,0,0,0
0,0,4,0,16,1,109.0,2,2,0,0,0,0,1
0,0,3,0,227,0,72.76,5,2,2,0,0,0,1
0,0,3,1,8,4,156.5,3,3,0,0,0,0,1
0,0,4,1,13,0,114.55,3,2,1,0,0,0,1
3,0,4,0,38,3,77.23,4,1,0,0,0,0,1
3,0,4,0,132,1,124.8,2,2,1,0,0,0,1
0,0,4,3,23,1,79.0,2,2,1,0,0,0,0
0,1,4,1,138,1,148.5,3,2,0,0,0,0,1
0,0,4,0,136,1,86.36,3,2,2,0,0,0,1
0,0,4,3,6,0,88.92,5,2,0,0,0,0,1
0,1,4,0,95,1,126.9,2,2,1,0,0,0,1
6,0,4,0,109,1,182.18,3,4,0,0,0,0,1
5,0,4,0,21,1,174.0,2,2,0,2,0,0,0
0,0,4,3,76,1,76.5,5,2,1,0,0,0,1
0,0,4,0,47,1,126.9,1,2,0,0,0,0,1
0,0,3,0,13,0,79.15,2,2,2,0,0,0,1
3,0,4,0,78,1,132.3,2,2,0,0,0,0,0
3,0,4,0,31,3,157.5,1,2,0,0,0,0,1
0,0,4,0,32,2,142.2,1,3,1,0,0,0,1
0,0,4,3,29,0,79.0,1,2,0,0,0,0,1
3,0,4,0,94,0,137.7,2,3,0,0,0,0,1
0,0,4,3,25,0,88.0,1,2,1,0,0,0,1
0,0,4,0,44,2,137.14,2,2,2,1,0,0,1
3,0,4,0,52,1,158.4,1,3,1,0,0,0,0
0,0,4,3,15,1,89.0,1,1,0,0,0,0,1
0,0,4,3,115,0,94.5,2,2,1,0,0,0,0
0,0,4,0,182,2,70.44,3,2,2,0,0,0,1
3,0,4,0,205,0,117.64,7,3,3,0,0,0,1
0,1,4,0,80,1,122.4,1,2,0,0,0,0,1
0,0,4,0,122,1,114.3,2,2,2,0,0,0,0
0,0,4,3,1,0,81.0,1,2,0,0,0,0,1
3,0,4,0,73,1,107.95,2,2,2,0,0,0,0
3,0,3,0,109,0,90.95,1,2,2,0,0,0,1
0,0,4,0,81,2,89.25,3,2,2,0,0,0,1
0,0,3,0,38,0,81.0,1,1,2,0,0,0,1
3,0,4,0,150,1,109.8,1,2,0,0,0,0,1
0,0,4,0,75,0,135.0,5,2,0,1,0,0,0
3,0,4,0,16,1,131.0,2,1,0,0,0,0,1
0,0,4,0,4,0,62.37,2,1,0,0,0,0,1
0,0,4,3,0,0,56.0,1,1,0,0,4,0,1
0,0,4,3,7,1,121.0,4,2,1,0,0,0,1
3,0,4,0,233,1,138.13,2,2,1,0,0,0,0
0,0,3,0,48,0,122.22,3,2,1,1,0,0,1
0,0,4,3,89,2,79.2,1,1,2,0,0,0,1
0,0,4,0,228,1,102.85,4,2,0,0,0,0,0
0,0,4,0,0,1,0.0,1,1,0,0,0,0,1
0,1,4,0,64,1,117.9,1,2,2,0,0,0,1
3,0,4,0,142,0,109.8,2,2,0,0,0,0,0
0,0,4,0,24,1,95.48,3,2,0,0,0,0,1
3,0,4,0,170,1,105.3,1,2,1,0,0,0,0
6,0,1,0,0,2,0.0,1,2,0,0,0,0,1
0,0,4,0,150,2,65.83,3,2,0,0,0,0,1
3,0,4,0,60,1,123.98,3,2,1,0,0,0,0
5,0,4,0,30,3,198.9,1,2,2,2,0,0,1
0,0,4,0,0,2,111.65,3,2,1,1,0,0,1
0,0,4,3,54,1,74.8,2,2,2,0,0,0,1
0,0,4,0,118,1,97.75,3,2,2,0,0,0,1
0,0,4,0,5,0,151.0,3,2,0,0,0,0,0
3,0,4,0,140,2,103.42,4,3,2,0,0,0,1
0,0,4,1,75,2,120.7,2,2,2,0,0,0,1
0,0,4,3,18,1,97.0,2,2,0,0,0,0,0
3,0,4,0,50,0,112.2,3,2,1,0,0,0,0
3,0,3,0,1,0,107.0,1,1,0,0,0,0,1
6,0,4,0,11,1,227.15,3,4,0,0,0,0,1
0,0,4,1,6,2,158.5,3,2,0,1,0,0,1
0,0,3,0,263,0,110.0,2,2,0,0,0,0,0
0,0,4,3,52,1,118.0,0,1,1,0,0,0,0
1,0,4,0,130,1,102.58,2,2,1,0,0,0,1
0,0,4,0,8,1,73.2,4,2,2,0,0,0,1
3,0,4,0,61,0,134.53,2,3,2,0,0,0,0
3,0,4,0,6,0,108.0,2,2,0,0,0,0,1
0,0,3,0,110,0,85.75,7,2,2,0,0,0,1
0,0,4,0,25,1,80.85,1,2,2,0,0,0,1
3,0,4,0,85,1,132.6,2,2,2,0,0,0,1
0,0,3,0,108,0,72.25,2,2,2,0,0,0,1
0,0,4,3,289,2,70.55,4,2,2,0,0,0,0
3,0,4,0,14,1,156.0,2,2,2,0,0,0,1
0,0,4,0,109,1,77.03,1,2,2,0,0,0,1
3,0,4,1,55,1,164.9,3,2,2,0,0,0,1
0,0,4,3,1,1,81.0,1,2,0,0,0,0,1
0,0,4,0,186,0,121.5,2,2,0,1,0,0,0
0,0,2,0,1,0,66.0,1,1,0,0,5,0,1
0,0,4,0,82,1,84.15,3,2,2,0,0,0,1
0,0,3,0,137,0,89.75,1,2,1,0,0,0,1
0,0,4,0,26,0,127.2,3,3,1,0,0,0,0
0,0,4,0,1,0,12.0,0,2,1,0,0,0,1
0,0,4,0,23,2,87.0,3,2,1,0,0,0,1
5,0,4,0,11,1,191.35,0,2,1,2,0,0,1
0,0,4,0,159,0,105.3,1,1,0,1,0,0,0
0,0,4,0,40,1,117.9,3,2,2,0,0,0,1
3,0,3,0,4,1,155.6,2,3,1,0,0,0,1
0,0,4,3,1,0,85.0,0,2,1,0,0,0,0
3,0,4,0,172,2,128.7,2,3,0,0,0,0,0
0,0,4,0,82,1,74.15,0,2,1,0,0,0,0
0,0,4,0,10,1,93.0,2,2,0,0,0,0,0
0,0,4,3,0,0,140.0,1,1,0,0,0,0,1
0,0,3,0,106,2,84.58,4,2,0,1,0,0,1
3,0,4,0,74,1,117.73,2,2,0,1,0,0,1
0,0,4,0,215,2,100.8,4,1,0,0,0,0,0
0,0,3,0,199,1,63.75,2,1,1,0,0,0,1
0,0,4,0,117,0,76.5,1,2,0,0,0,0,0
0,0,3,0,133,1,84.33,2,2,1,0,0,0,1
0,0,4,0,115,1,119.85,4,2,2,0,0,0,1
0,0,4,3,52,0,94.5,3,2,0,0,0,0,0
0,0,2,0,1,1,119.0,2,2,0,0,0,0,1
0,0,4,0,97,1,103.7,5,2,2,1,0,0,1
3,0,0,0,3,0,110.0,3,1,1,0,3,0,1
0,0,2,0,1,1,79.0,1,1,0,0,6,1,1
0,0,3,0,48,1,60.0,3,2,2,0,0,0,1
3,0,4,0,56,3,177.3,1,3,2,0,0,0,1
0,0,3,0,1,0,109.65,1,1,0,0,0,0,1
3,0,4,0,34,2,150.98,2,3,2,0,0,0,1
0,0,3,0,160,0,130.67,3,2,0,0,0,0,1
0,0,3,0,191,1,80.75,2,2,0,0,0,0,1
6,0,4,0,3,1,215.6,2,3,2,0,0,0,1
0,0,2,0,2,0,74.0,1,1,0,0,5,0,1
0,0,1,0,0,1,0.0,2,2,0,0,5,0,1
0,0,4,3,63,2,94.95,2,2,0,0,0,0,1
5,0,4,0,32,1,216.9,1,2,0,2,0,0,0
1,0,4,0,111,1,73.74,4,2,2,0,0,0,1
0,0,4,0,0,1,95.0,1,2,0,0,0,0,1
0,0,4,0,2,1,101.0,0,2,2,0,0,0,1
0,0,4,0,0,1,91.0,3,1,1,0,0,0,1
3,1,4,0,53,1,183.5,1,2,1,0,0,0,1
0,0,4,0,0,1,101.0,2,2,1,0,0,0,1
1,0,4,0,11,1,127.6,1,0,0,2,0,0,1
0,0,3,0,59,0,75.0,2,2,2,0,0,0,1
3,0,4,0,2,2,205.0,2,1,0,0,0,0,1
3,0,4,0,128,0,132.3,5,2,0,0,0,0,0
0,0,4,3,131,0,94.5,2,2,0,0,0,0,0
3,0,4,0,167,0,102.0,4,2,0,0,0,0,0
0,0,4,0,104,2,82.45,4,2,2,0,0,0,0
3,0,3,0,0,1,45.0,1,1,1,0,0,0,1
0,0,4,0,48,0,65.83,1,1,0,0,0,0,1
0,0,4,3,49,2,74.8,3,2,2,0,0,0,1
0,0,4,3,67,1,104.76,4,1,1,0,0,0,1
0,0,4,0,6,1,134.83,4,2,2,0,0,0,1
0,0,4,0,68,0,93.6,2,2,0,0,0,0,1
3,0,4,0,32,1,140.7,3,3,0,0,0,0,1
3,0,4,0,20,1,131.35,4,2,0,0,0,0,1
0,0,4,3,1,1,79.0,1,2,0,0,0,0,1
3,0,4,0,106,2,140.0,1,3,2,0,0,0,1
3,1,4,0,29,0,104.77,3,2,0,0,0,0,1
0,0,4,0,118,0,90.9,1,1,0,0,0,0,0
0,0,4,1,161,0,105.0,2,1,1,0,0,0,0
5,0,4,0,63,0,177.3,2,2,0,2,0,0,0
0,0,4,0,180,0,108.9,1,2,2,0,0,0,0
0,0,4,0,12,1,105.0,1,2,2,0,0,0,1
0,0,4,3,7,0,89.0,0,2,1,0,0,0,1
0,0,4,0,25,0,64.64,2,2,2,0,0,0,1
0,0,4,3,165,1,85.0,3,2,1,0,0,0,0
0,0,4,0,2,2,0.0,0,1,0,0,0,0,1
0,0,2,0,3,1,65.0,0,1,1,0,5,0,1
0,0,4,3,20,0,89.0,1,1,1,0,0,0,0
5,0,4,0,113,1,190.8,2,2,2,2,0,0,0
0,0,4,3,28,1,121.03,1,2,2,0,0,0,1
0,0,4,0,77,0,113.4,2,1,0,0,0,0,0
0,0,2,0,14,0,65.0,1,1,0,0,0,0,1
0,0,3,0,33,0,67.52,2,2,0,0,0,0,1
0,0,4,0,11,1,89.0,2,2,0,0,0,0,1
3,0,4,0,18,2,148.0,2,2,1,0,0,0,1
0,0,4,0,1,1,101.0,1,2,0,0,0,0,1
0,0,3,0,3,0,76.8,3,2,0,0,0,0,1
0,0,4,0,73,1,74.15,2,2,0,0,0,0,1
0,0,4,0,90,1,72.25,2,2,0,0,0,0,0
0,0,4,0,75,0,135.9,0,2,2,0,0,0,0
0,0,4,1,2,0,72.5,1,1,2,0,0,0,0
0,0,4,0,9,0,88.27,9,2,2,0,0,0,1
0,0,4,0,8,3,127.5,3,2,1,0,0,0,1
0,0,4,0,8,0,91.0,1,1,0,0,0,0,1
0,0,4,0,18,0,114.0,0,1,2,0,0,0,0
0,1,1,0,0,0,0.0,1,2,0,0,2,0,1
0,0,4,0,162,2,121.5,0,2,1,1,0,0,0
0,0,4,3,31,0,99.0,4,2,0,0,0,0,0
0,0,4,3,0,1,89.0,1,2,0,0,0,0,1
5,0,4,0,3,1,246.25,4,2,0,2,0,0,1
0,0,3,0,59,1,75.0,2,2,1,0,0,0,1
0,0,3,0,269,1,80.0,3,2,2,0,0,0,1
0,0,4,3,64,1,94.5,1,2,1,0,0,0,0
1,0,4,0,145,0,106.32,2,0,1,2,0,0,1
0,0,4,0,40,2,134.1,3,2,0,1,0,0,1
0,0,1,0,12,0,0.0,1,1,0,0,1,1,1
0,0,4,0,54,2,85.5,1,1,0,0,0,0,1
6,0,4,0,39,1,242.77,3,3,1,0,0,0,1
0,0,3,1,1,0,89.25,1,1,0,0,0,0,1
0,0,4,3,0,0,107.0,1,2,0,0,0,0,1
0,0,4,3,24,1,71.69,0,2,2,0,0,0,1
3,0,4,0,93,2,177.3,3,2,0,0,0,0,0
0,0,4,3,7,4,74.8,1,2,0,0,0,0,1
0,0,4,3,33,3,125.1,2,2,0,0,0,0,1
0,1,4,0,169,2,101.25,3,2,2,0,0,0,0
0,0,3,0,13,0,96.0,1,1,1,0,0,0,1
3,0,0,0,3,0,110.0,2,1,1,0,0,0,1
5,0,4,0,17,1,176.33,2,1,1,0,0,0,1
0,0,3,1,65,0,105.0,4,2,0,0,0,0,1
5,0,4,0,36,1,177.77,5,2,2,2,0,0,1
0,0,1,0,3,3,0.0,0,2,1,0,3,2,1
3,0,4,0,117,0,146.7,3,3,0,0,0,0,0
0,0,4,0,209,1,81.9,3,1,0,0,0,0,1
0,0,4,0,147,2,85.5,1,1,0,0,0,0,0
5,0,4,0,19,2,155.0,1,2,0,2,0,0,1
0,0,4,0,79,0,89.25,1,2,0,0,0,0,0
0,0,2,0,55,0,79.0,1,1,0,0,0,0,1
0,0,3,0,38,1,64.72,4,2,2,1,0,0,1
